Date,Time,Food Name,Serving Size,Serving Qty,Serving Weight (g),Calories (kcal),Fat (g),Carbs (g),Protein (g),Alcohol (g),"B12, Cobalamin (mcg)","B1, Thiamine (mg)","B2, Riboflavin (mg)","B3, Niacin (mg)","B5, Pantothenic Acid (mg)","B6, Pyridoxine (mg)",Caffeine (mg),Calcium (mg),Cholesterol (mg),Choline (mg),Copper (mg),Cysteine (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Saturated Fat (g),Trans Fat (g),Fiber (g),Folate (mcg),Histidine (g),Iron (mg),Isoleucine (g),Leucine (g),Lysine (g),Magnesium (mg),Manganese (mg),Methionine (g),Omega-3 ALA (g),Omega-3 DHA (g),Omega-3 EPA (g),Omega-3 (g),Omega-6 (g),Phenylalanine (g),Phosphorus (mg),Potassium (mg),Selenium (mcg),Sodium (mg),Starch (g),Sugars (g),Sugars Added (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Vitamin A (mcg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Water (g),Zinc (mg)
2025-10-23,3:38 PM,"Mushrooms, Raw, High in Vitamin D",large,1,23,6,0,1,1,,0,0,0.1,0.9,0.3,0,,1.1,,4,0.1,0,,0,0,,0.4,8.1,0,0.1,0,0,0,2.3,0,0,,,,,0,0,21.4,85.8,4.6,1.4,,0.5,,0,0,0,0.1,,0.5,6,0,,21,0.1
2025-10-23,3:38 PM,"Onion, White, Yellow or Red, Raw",large,0.25,150,15,0,4,0,,,0,0,0,0,0,,8.6,,2,0,0,0,0,0,,0.5,7.1,0,0.1,0,0,0,3.8,0,0,0,,,0,,0,10.9,54.8,0.2,1.5,,1.6,,0,0,0,0,0,2.8,,0,0.1,33,0.1
2025-10-23,8:47 PM,Caramel Cashew Protein Bar,serving,1,55,200,8,18,20,,,,,,,,,160,5,,,,,,3,,3,,,0.6,,,,,,,,,,,,,,150,,80,,1,,,,,,,,,,,,
2025-10-23,8:57 PM,Roasted & Salted Cashews,package,1,100,160,13,9,5,,,,,,,,,10,,,,,,,2.5,,1,,,1.8,,,,,,,,,,,,,,180,,85,,2,,,,,,,,,,,,
2025-10-23,9:00 PM,Cod Liver Oil,softgel,1,100,10,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,,,,,,,,,,,,,,,300,,10,,,,
2025-10-23,9:00 PM,Magnesium l-Threonate,capsules,4,0.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-23,9:00 PM,Methyl Multi,capsules,2,50,0,0,0,0,,250,10,10,32,100,10,,50,,18,0.5,,,,,,,850,,,,,,50,0.3,,,,,,,,,49.5,50,30,,,,,,,,,125,2.5,67,30,,6.5
2025-10-24,8:40 AM,dark chocolate espresso beans,serving,0.5,40,108,6,12,2,,,0,0.1,0.1,0,0,168,20,3,,0.1,,,,3,,1.5,0.6,,0.5,,,,21.4,0.1,,,,,,,,27,68.4,0.6,5,,8.5,,,,,,,,,0,1.2,0,0.3
2025-10-24,8:40 AM,egg scrambled,large,1,61,91,7,1,6,,0.5,0,0.2,0,0.7,0.1,,40.3,169,135,0,0.1,2.7,1.5,2,,,22,0.1,0.8,0.3,0.5,0.4,6.7,0,0.2,,0,,,,0.3,100.7,80.5,14.3,88.5,,0.8,,0.3,0.1,0.2,0.4,,,,0.7,2.4,47,0.6
2025-10-24,8:40 AM,foccacia,g,50,1,125,4,18,4,,,0.2,0.2,1.8,0.3,0.1,,17.5,,1,0,,2.8,0.5,0.4,,0.9,69,,1.6,,,,10,0.2,,,,,,,,64,57,8,280.5,,0.9,,,,,,,,,0.7,2.9,23,0.7
2025-10-24,8:40 AM,lean ground turkey,g,60,1,128,7,0,16,,1.1,0.1,0.2,4.9,0.8,0.3,,18.6,62,47,0.1,0.2,2.3,2.1,1.8,0.1,,4.2,0.5,0.9,0.7,1.3,1.5,17.4,0,0.5,0.1,0,0,,,0.6,155.4,182.4,17,54,,,,0.7,0.2,0.6,0.8,,,,0.1,,37,2.3
2025-10-24,2:11 PM,Carne Asada,serving,1,112,210,11,3,24,,,,,,,,,,60,,,,,,4,,,,,1.8,,,,,,,,,,,,,,,,760,,1,,,,,,,,,,,,
2025-10-24,2:11 PM,Chipotle Brown Rice,order,1,113.4,201,6,33,4,,,0.2,0.1,3.3,0.5,0.2,,5.4,,12,0.1,0,2.4,2.2,1.3,,2.1,12.6,0.1,0.7,0.1,0.3,0.1,50.4,1.2,0.1,0.1,,,0.1,2.1,0.2,132.4,120.5,7.9,189.8,,0.4,,0.1,0,0.1,0.2,3.4,0.9,,1.8,4.6,70,0.9
2025-10-24,2:11 PM,Chipotle Pinto Beans,order,1,113.4,129,2,22,7,,,0.2,0.1,0.3,0.2,0.2,,40,,29,0.2,0.1,0.5,0.6,0.3,,7.5,141.3,0.2,1.7,0.3,0.6,0.5,42.3,0.4,0.1,0.1,,,0.1,0.4,0.4,121.9,377.5,5.1,209.7,,0.9,,0.3,0.1,0.2,0.4,2.2,3.9,,1.1,3.6,81,0.8
2025-10-24,2:11 PM,Orange,serving,1,355,25,0,6,0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,
2025-10-24,3:47 PM,Homemade Blueberry Pie,"piece (1/8 of 9 dia)""",1,147,360,17,49,4,,,0.2,0.2,1.7,0.2,0,,10.3,,,0.1,0.1,7.5,4.5,4.3,,,33.8,0.1,1.8,0.1,0.3,0.1,11.8,0.4,0.1,,,,,,0.2,44.1,73.5,10.9,271.9,,,,0.1,0,0.1,0.2,2.9,1,,,,75,0.3
2025-10-24,7:35 PM,Whole Grain Pasta,g,50,1,161,1,35,7,,,0.4,0.3,6.3,,,,15.2,,,,,,,,,6.3,63.4,,1.8,,,,48.2,1.3,,,,,,,,200,244.6,,,,0.9,,,,,,,,,,,,1.8
2025-10-24,7:35 PM,grilled chicken breast,g,179,1,265,6,0,53,,0.4,0.1,0.4,19.8,2.7,1.8,,10.7,190,193,0.1,0.6,2.4,1.3,1.8,0,,,2,0.8,2.6,4.4,5.1,55.5,0,1.4,0,0,0,,,2.1,445.7,751.8,75.9,384.8,,,,2.4,0.7,1.9,2.7,,,,0.6,,119,1.5
2025-10-24,7:35 PM,pesto,g,20,1,84,8,2,2,,,0,0.1,0.1,0.3,0,,61.2,,,0,,4.4,1.3,1.4,0,0.4,3.2,,0.1,,,,9.4,0.1,,0.3,,0,,,,54.6,112,,120.6,0.4,1.3,,,,,,,,,1.5,30.2,8,0.3
2025-10-24,8:27 PM,Dark Chocolate Covered Mini Pretzels 240g Pack,pretzel,5,5.6,140,7,19,2,,,,,,,,,10,,,,,,,4,,2,,,1.4,,,,,,,,,,,,,,100,,160,,9,,,,,,,,,,,,
2025-10-24,9:00 PM,Cod Liver Oil,softgel,1,100,10,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,,,,,,,,,,,,,,,300,,10,,,,
2025-10-24,9:00 PM,Creatine Ethyl Ester (Hcl),serving,1,3,10,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-24,9:00 PM,Magnesium l-Threonate,capsules,4,0.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-24,9:00 PM,Methyl Multi,capsules,2,50,0,0,0,0,,250,10,10,32,100,10,,50,,18,0.5,,,,,,,850,,,,,,50,0.3,,,,,,,,,49.5,50,30,,,,,,,,,125,2.5,67,30,,6.5
2025-10-25,6:00 AM,Dark Chocolate Covered Espresso Beans,g,30,1,150,9,19,2,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,15,,14,,,,,,,,,,,,
2025-10-25,6:00 AM,Focaccia Italian Flatbread Plain,g,45,1,112,4,16,4,,,0.2,0.1,1.7,0.3,0.1,,15.7,,1,0,,2.6,0.4,0.4,,0.8,62.1,,1.4,,,,9,0.2,,,,,,,,57.6,51.3,7.2,252.4,,0.8,,,,,,0,,,0.6,2.6,21,0.6
2025-10-25,6:00 AM,"Milk, Whole",oz,4,28.35,68,4,5,4,,0.6,0.1,0.2,0.1,0.4,0.1,,139.5,14,20,0,0,0.8,0.1,2.1,,,,0.1,,0.2,0.4,0.3,13.6,,0.1,0,,0,0,0.1,0.2,114.5,170.1,2.2,43.1,,5.3,,0.2,0,0.2,0.2,35.8,,1.1,0.1,0.3,100,0.5
2025-10-25,10:00 AM,basil pesto,tbsp,2,15.75,132,12,3,3,,,0.1,0.2,0.2,0.5,0,,96.4,,,0,,7,2.1,2.2,0,0.6,5,,0.2,,,,14.8,0.2,,0.4,,0,,,,86,176.4,,189.9,0.7,2,,,,,,,,,2.3,47.6,12,0.4
2025-10-25,10:00 AM,grilled chicken breast,g,100,1,148,3,0,30,,0.2,0.1,0.2,11.1,1.5,1,,6,106,108,0,0.3,1.3,0.7,1,0,,,1.1,0.4,1.4,2.4,2.8,31,0,0.8,0,0,0,,,1.2,249,420,42.4,215,,,,1.3,0.4,1.1,1.5,,,,0.3,,67,0.8
2025-10-25,10:00 AM,pasta,g,34,1,54,0,10,2,,,0.1,0,0.6,0,0,,2.4,,2,0,0,0,0.1,0.1,,0.6,24.8,0,0.4,0.1,0.1,0,6.1,0.1,0,0,,,,,0.1,19.7,15,9,0.3,8.8,0.2,,0.1,0,0,0.1,,,,0,,21,0.2
2025-10-25,12:00 PM,"Cheese Curds, Plain (Non-Breaded or Fried)",each,2,4,24,2,0,2,,0.1,0,0,0,0,0,,55.8,5,1,0,0,0.4,0.1,0.9,,,2.2,0,0,0.1,0.2,0.1,2.2,0,0,0,,0,0,0,0.1,43.8,15,2.2,53.3,,0.2,,0.1,0,0.1,0.1,18.2,,0,0,0.1,4,0.3
2025-10-25,3:34 PM,Turkey Ground 93% Lean 7% Fat Raw,g,125,1,187,10,0,23,,1.5,0.1,0.2,6.8,1.3,0.4,,26.3,92,66,0.1,0.2,3.5,3.2,2.7,,,8.8,0.7,1.5,1,1.9,2.1,26.3,0,0.7,0.2,0,0,0.2,2.7,0.9,241.3,266.3,23.7,86.3,,,,1.1,0.3,0.8,1.1,27.5,,0.5,0.1,,91,3.2
2025-10-25,3:45 PM,Baked Sweet Potato,g,86,1,77,0,18,2,,,0.1,0.1,1.3,0.8,0.2,,32.7,,11,0.1,,,0.1,0,,2.8,5.2,,0.6,,,,23.2,0.4,,,,,,,,46.4,408.5,0.2,211.6,,5.6,,,,,,,16.9,,0.6,2,,0.3
2025-10-25,6:00 PM,"Barbeque Sauce (Bbq), Store Bought",container,1,28,48,0,11,0,,,0,0,0.2,0,0,,9.2,,2,0,0,0,0,0,,0.3,0.6,0,0.2,0,0,0,3.6,0,0,0,,,0,0,0,5.6,65,0.4,287.6,,9.3,8,0,0,0,0,3.1,0.2,,0.2,0.5,15,0
2025-10-25,6:00 PM,"Beef Brisket Flat Cut Braised Trimmed to 1/8 Fat All Grades""",g,10,1,29,2,0,3,,0.2,0,0,0.4,0.1,0,,1.6,11,11,0,0,0.8,0.1,0.7,,,0.9,0.1,0.2,0.1,0.2,0.2,1.9,0,0.1,,,,,,0.1,17.5,23.2,2.7,4.8,,,,0.1,0,0.1,0.1,,,,0.1,0.2,5,0.7
2025-10-25,6:40 PM,pretzel slider buns,roll,2.5,53,275,5,48,8,,0.2,0.2,0.2,1.1,0.6,0.1,,62.9,39,28,0.1,0.2,1.4,0.5,2.9,0.1,1.8,44.1,0.2,0.8,0.3,0.6,0.3,18.9,0.4,0.2,0,0,,,,0.4,116.8,142.6,21.8,7334.5,,4.1,,0.3,0.1,0.3,0.4,,0.4,,0.2,0.5,45,0.7
2025-10-25,6:40 PM,smoked turkey breast,oz,4,28.35,127,3,9,15,,0.2,0,0.1,5.9,0.7,0.3,,18.1,62,,0,0.2,0.7,0.4,0.1,,0.5,4.5,0.5,2.5,0.8,1.2,1.4,22.7,0,0.4,,0,,,,0.6,179.2,395.8,33.9,1360.8,,4.5,,0.7,0.2,0.6,0.8,,11.3,,,,82,2.4
2025-10-25,9:00 PM,Cod Liver Oil,softgel,1,100,10,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,,,,,,,,,,,,,,,300,,10,,,,
2025-10-25,9:00 PM,Creatine Ethyl Ester (Hcl),serving,1,3,10,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-25,9:00 PM,Magnesium l-Threonate,capsules,4,0.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-25,9:00 PM,Methyl Multi,capsules,2,50,0,0,0,0,,250,10,10,32,100,10,,50,,18,0.5,,,,,,,850,,,,,,50,0.3,,,,,,,,,49.5,50,30,,,,,,,,,125,2.5,67,30,,6.5
2025-10-26,7:19 AM,Focaccia Italian Flatbread Plain,g,30,1,75,2,11,3,,,0.1,0.1,1.1,0.2,0,,10.5,,1,0,,1.7,0.3,0.3,,0.5,41.4,,0.9,,,,6,0.1,,,,,,,,38.4,34.2,4.8,168.3,,0.5,,,,,,0,,,0.4,1.7,14,0.4
2025-10-26,8:00 AM,"Carrots, Raw",large baby,1,15,7,0,2,0,,,0,0,0.2,0,0,,4.5,,1,0,0,0,0,0,,0.5,5.5,0,0,0,0,0,1.8,0,0,0,,,0,,0,6,42,,13.1,,0.7,,0,0,0,0,125.3,0.9,,0.1,1.2,13,0
2025-10-26,10:00 AM,Dark Chocolate Covered Espresso Beans,g,15,1,75,5,9,1,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,7.5,,7,,,,,,,,,,,,
2025-10-26,10:00 AM,"Milk, Whole",oz,3,28.35,51,3,4,3,,0.5,0,0.1,0.1,0.3,0.1,,104.6,10,15,0,0,0.6,0.1,1.6,,,,0.1,,0.1,0.3,0.3,10.2,,0.1,0,,0,0,0.1,0.1,85.9,127.6,1.6,32.3,,3.9,,0.1,0,0.1,0.2,26.9,,0.8,0,0.3,75,0.4
2025-10-26,11:18 AM,Chicken & Vegetable Stir Fry,meal,1,262,200,5,16,23,,,,,,,,,40,75,,,,0.8,0.6,1,,4,,,1.1,,,,,,,,,,,,,,480,,580,,8,6,,,,,,,,,,,
2025-10-26,11:19 AM,Plain Biscuits,g,69.4,1,235,8,37,4,,0.1,0.3,0.2,2.3,0.2,0,,34,1,14,0.1,0.1,3.2,2.9,1.2,,0.9,48.6,0.1,2.3,0.2,0.3,0.1,11.8,0.3,0.1,,,,,,0.2,298.4,155.5,13,653.7,,2.4,,0.1,0.1,0.1,0.2,,,,0.9,2.8,19,0.3
2025-10-26,4:00 PM,"Milk, Whole",g,80,1,48,3,4,3,,0.4,0,0.1,0.1,0.3,0,,98.4,10,14,0,0,0.6,0.1,1.5,,,,0.1,,0.1,0.3,0.2,9.6,,0.1,0,,0,0,0.1,0.1,80.8,120,1.5,30.4,,3.7,,0.1,0,0.1,0.2,25.3,,0.8,0,0.2,70,0.3
2025-10-26,4:00 PM,Protein Meal Milk Chocolate,g,30,1,98,2,10,13,,0.9,0.2,0.3,3.1,1.6,0.3,,232.8,34,,,,,,0.5,,4.1,62.1,,2.8,,,,62.1,0.3,,,,,,,,155.2,103.4,,36.2,,1,,,,,,,9.3,,3.1,12.4,,2.3
2025-10-26,4:00 PM,espresso,shot,1,42,4,0,1,0,,,0,0.1,2.2,0,0,89,0.8,,1,0,,,0,0,,,0.4,,0.1,,,,33.6,0,,,,,,,,2.9,48.3,,5.9,,,,,,,,,0.1,,0,0,41,0
2025-10-26,4:00 PM,medium banana,g,94,1,84,0,21,1,,,0,0.1,0.6,0.3,0.3,,4.7,,9,0.1,0,0,0.1,0.1,,2.4,18.8,0.1,0.2,0,0.1,0,25.4,0.3,0,,,,,,0,20.7,336.5,0.9,0.9,5.1,11.5,,0,0,0,0,,8.2,,0.1,0.5,70,0.1
2025-10-26,4:00 PM,peanut butter,g,30,1,176,15,7,7,,,0,0,3.9,0.3,0.2,,16.2,,20,0.2,0.1,6.2,3.4,2.9,,1.7,10.5,0.2,0.6,0.2,0.5,0.2,53.7,0.4,0.1,,,0,,,0.4,100.5,177.6,12.1,142.8,1.4,2,,0.2,0.1,0.2,0.2,,,,1.8,,0,0.8
2025-10-26,7:00 PM,"Carrots, Raw",g,50,1,23,0,5,0,,,0,0,0.7,0.1,0.1,,15,,4,0,0,0,0.1,0,,1.6,18.5,0,0.1,0,0.1,0.1,6,0.1,0,0,,,0,,0,20,140,,43.5,,2.4,,0.1,0,0,0,417.6,3,,0.4,4.2,44,0.1
2025-10-26,7:00 PM,chicken,g,50,1,110,7,0,12,,0.4,0,0.1,3.5,0.5,0.2,,6.5,47,,0,0.2,2.6,1.4,1.8,,,11.5,0.3,0.8,0.6,0.9,1,10,0,0.3,,0,0,,,0.5,89.5,102,7.8,35.5,,,,0.5,0.1,0.4,0.6,,0.2,,,,31,0.9
2025-10-26,7:00 PM,foccacia,g,53,1,132,4,19,5,,,0.2,0.2,1.9,0.3,0.1,,18.6,,2,0,,3,0.5,0.5,,1,73.1,,1.7,,,,10.6,0.2,,,,,,,,67.8,60.4,8.4,297.3,,0.9,,,,,,,,,0.8,3,24,0.7
2025-10-26,7:00 PM,steak,g,70,1,195,13,0,18,,1.2,0,0.1,5,0.4,0.4,,11.9,68,70,0.1,0.2,5.4,0.5,5.1,,,5.6,0.6,1.2,0.8,1.5,1.5,14.7,0,0.5,,,,,,0.7,136.5,221.2,19.7,36.4,,,,0.7,0.1,0.6,0.9,,,,0.3,1.1,38,3.3
2025-10-26,9:00 PM,Cod Liver Oil,softgel,1,100,10,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,,,,,,,,,,,,,,,300,,10,,,,
2025-10-26,9:00 PM,Magnesium l-Threonate,capsules,4,0.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-26,9:00 PM,Methyl Multi,capsules,2,50,0,0,0,0,,250,10,10,32,100,10,,50,,18,0.5,,,,,,,850,,,,,,50,0.3,,,,,,,,,49.5,50,30,,,,,,,,,125,2.5,67,30,,6.5
2025-10-27,7:19 AM,Strained Thick & Creamy Greek Yogurt Plain,g,120,1,120,6,5,11,,,,,,,,,120,25,,,,,,4.2,,0.7,,,0.1,,,,,,,,,,,,,,162.4,,42.4,,4.2,,,,,,,,,,,,
2025-10-27,7:20 AM,Natural Pecan Halves,g,7.7,1,55,6,1,1,,,,,,,,,5.5,,,,,,,0.6,,0.8,,,0.7,,,,,,,,,,,,,,31.6,,,,0.3,,,,,,,,,,,,
2025-10-27,7:25 AM,Chicken Breast Grilled Boneless Skinless,g,75,1,111,3,0,22,,0.1,0.1,0.2,8.3,1.1,0.7,,4.5,79,81,0,0.2,1,0.5,0.8,,,,0.8,0.3,1.1,1.8,2.1,23.3,0,0.6,0,0,0,0,0.4,0.9,186.8,315,31.8,161.3,,,,1,0.3,0.8,1.1,7.5,,,0.2,,50,0.6
2025-10-27,7:25 AM,Orange Blossom Honey Barrel aged,g,8,1,23,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,
2025-10-27,7:32 AM,Vanilla Syrup for Speciality Cofee,ml,10,1,34,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,8.4,,,,,,,,,,,,
2025-10-27,7:34 AM,"Soft Pretzel, Salted",g,48,1,166,1,34,4,,,0.2,0.1,2,0.4,0,,11,,8,0.1,0.1,0.5,0.5,0.3,,0.8,11.5,0.1,1.9,0.1,0.3,0.1,10.1,0.2,0.1,0,,,0,0.4,0.2,37.9,42.2,8.3,261.6,,0.1,,0.1,0,0.1,0.2,,,,0.3,1.3,7,0.5
2025-10-27,11:50 AM,banana,g,120,1,107,0,27,1,,,0,0.1,0.8,0.4,0.4,,6,,12,0.1,0,0,0.1,0.1,,3.1,24,0.1,0.3,0,0.1,0.1,32.4,0.3,0,,,,,,0.1,26.4,429.6,1.2,1.2,6.5,14.7,,0,0,0,0.1,,10.4,,0.1,0.6,90,0.2
2025-10-27,11:50 AM,carrots,g,150,1,53,0,12,1,,,0.1,0.1,1,0.3,0.2,,45,,13,0,0.1,0,0.1,0,,4.5,21,0,0.5,0.1,0.1,0.1,15,0.2,0,,,,,,0.1,45,352.5,1.1,87,0.3,5.2,,0.2,0,0.1,0.1,,5.4,,1.5,20.6,135,0.3
2025-10-27,11:50 AM,chicken breast,g,150,1,248,5,0,47,,0.5,0.1,0.2,20.6,1.4,0.9,,22.5,128,128,0.1,0.6,1.9,1.2,1.5,,,6,1.4,1.6,2.5,3.5,4,43.5,0,1.3,,0,0,,,1.8,342,384,41.4,111,,,,2,0.5,1.6,2.3,,,,0.4,0.5,98,1.5
2025-10-27,6:00 PM,Pesto Prepared Refrigerated,g,58,1,242,22,6,6,,,0.1,0.4,0.3,1,0.1,,177.5,,,0,,12.9,3.8,4.1,,1,9.3,,0.3,,,,27.3,0.3,,0.7,,0,0.7,2.8,,158.3,324.8,,349.7,,3.7,,,,,,44.7,,,4.2,87.6,23,0.8
2025-10-27,6:54 PM,Cacio E Pepe Ravioli,cup,1,83,220,9,25,8,,,,,,,,,130,50,,,,,,6,,1,,,0.4,,,,,,,,,,,,,,100,,490,,5,,,,,,,,,,,,
2025-10-27,6:54 PM,Ground Turkey Cooked,g,150,1,305,16,0,41,,2,0.1,0.3,13.1,1.8,0.9,,42,140,117,0.2,0.4,5.2,4.4,4,,,10.5,1.2,2.3,1.8,3.4,3.7,45,0,1.2,0.2,0,0,0.2,3.8,1.6,381,441,46.7,117,,,,1.9,0.5,1.5,1.9,36,,0.3,0.2,,93,4.7
2025-10-27,8:00 PM,Cod Liver Oil,softgel,1,100,10,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,,,,,,,,,,,,,,,300,,10,,,,
2025-10-27,8:00 PM,Magnesium l-Threonate,capsules,4,0.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-27,8:00 PM,Methyl Multi,capsules,2,50,0,0,0,0,,250,10,10,32,100,10,,50,,18,0.5,,,,,,,850,,,,,,50,0.3,,,,,,,,,49.5,50,30,,,,,,,,,125,2.5,67,30,,6.5
2025-10-28,6:00 AM,foccacia,g,30,1,75,2,11,3,,,0.1,0.1,1.1,0.2,0,,10.5,,1,0,,1.7,0.3,0.3,,0.5,41.4,,0.9,,,,6,0.1,,,,,,,,38.4,34.2,4.8,168.3,,0.5,,,,,,,,,0.4,1.7,14,0.4
2025-10-28,6:00 AM,milk,g,20,1,10,0,1,1,,0.1,0,0,0,0.1,0,,24,2,3,0,0,0.1,0,0.3,0,,1,0,0,0,0.1,0.1,2.2,0,0,0,,,,,0,18.4,28,0.5,9.4,,1,,0,0,0,0,,0,,0,0,18,0.1
2025-10-28,6:54 AM,"Eggs, Cooked",large,3,50,233,16,2,19,,1.7,0.1,0.8,0.1,2.1,0.2,,75,560,441,0,0.4,6.1,2.1,4.9,,,66,0.4,1.8,1,1.6,1.4,15,0,0.6,0,0.1,0,0.1,2,1,258,189,46.2,186,,1.7,,0.9,0.2,0.8,1.2,224,,3.3,1.5,0.4,112,1.6
2025-10-28,6:54 AM,Tomato Sauce,serving,2,63,50,0,12,2,,,,,,,,,,,,,,,,,,2,,,3.5,,,,,,,,,,,,,,540,,440,,6,,,,,,,,,,,,
2025-10-28,12:00 PM,"Asparagus, Cooked From Fresh","large - spear - 7 1/4 to 8 1/2"" long""",1,19,4,0,1,0,,,0,0,0.2,0,0,,4.4,,5,0,0,,0,0,,0.4,28.3,0,0.2,0,0,0,2.7,0,0,0,,,0,,0,10.3,42.6,1.2,2.7,,0.2,,0,0,0,0,9.6,1.5,,0.3,9.6,18,0.1
2025-10-28,12:00 PM,"Asparagus, Cooked From Fresh","large - spear - 7 1/4 to 8 1/2"" long""",1,19,4,0,1,0,,,0,0,0.2,0,0,,4.4,,5,0,0,,0,0,,0.4,28.3,0,0.2,0,0,0,2.7,0,0,0,,,0,,0,10.3,42.6,1.2,2.7,,0.2,,0,0,0,0,9.6,1.5,,0.3,9.6,18,0.1
2025-10-28,12:00 PM,"Asparagus, Cooked From Fresh","large - spear - 7 1/4 to 8 1/2"" long""",1,19,4,0,1,0,,,0,0,0.2,0,0,,4.4,,5,0,0,,0,0,,0.4,28.3,0,0.2,0,0,0,2.7,0,0,0,,,0,,0,10.3,42.6,1.2,2.7,,0.2,,0,0,0,0,9.6,1.5,,0.3,9.6,18,0.1
2025-10-28,12:00 PM,"Barbeque Sauce (Bbq), Store Bought",container,1,28,48,0,11,0,,,0,0,0.2,0,0,,9.2,,2,0,0,0,0,0,,0.3,0.6,0,0.2,0,0,0,3.6,0,0,0,,,0,0,0,5.6,65,0.4,287.6,,9.3,8,0,0,0,0,3.1,0.2,,0.2,0.5,15,0
2025-10-28,12:00 PM,"Beef Brisket Flat Cut Braised Trimmed to 1/8 Fat All Grades""",oz,4,28.33,328,21,0,33,,2.4,0.1,0.2,4.6,0.6,0.3,,18.1,120,125,0.1,0.4,9,0.8,8.3,,,10.2,1,2.8,1.4,2.5,2.6,21.5,0,0.8,,,,,,1.2,198.3,262.9,30.7,54.4,,,,1.2,0.2,1,1.6,,,,0.6,2,60,7.6
2025-10-28,12:00 PM,"Caesar Salad, With Dressing",g,100,1,161,12,11,4,,0.1,0.1,0.1,0.7,0.2,0.1,,79.9,11,13,0.1,0,3.2,4.9,2.6,,1.9,101.2,0.1,1,0.2,0.3,0.2,15.7,0.2,0.1,0.6,0,,0.6,4.3,0.2,71.1,191.2,9.2,425.8,,2,1,0.1,0,0.1,0.2,300.3,2.6,0.1,1.1,81.9,72,0.5
2025-10-28,12:00 PM,"Grits (Polenta), With Cheese",g,50,1,72,4,6,3,,0.3,0.1,0.1,0.3,0.2,0.1,,78.6,24,18,0,0,0.9,0.4,1.8,,0.3,15.4,0.1,0.3,0.2,0.3,0.2,7.5,0,0.1,0,0,0,0,0.3,0.2,67,54.4,4.7,160.6,,1.1,,0.1,0.1,0.1,0.2,47.3,0.2,0.3,0.2,3.1,45,0.4
2025-10-28,12:00 PM,Mexican Inspired Elote Street Corn,g,60,1,60,1,9,1,,,,,,,,,14.9,2,,,,,,0.5,,1,,,,,,,,,,,,,,,,,64.5,,109.1,,2.5,,,,,,,,,,,,
2025-10-28,12:00 PM,Pork Belly,slice,1,30,121,10,0,8,,0.3,0.2,0.1,1.5,0.2,0.1,,10.4,32,28,0,0.1,4.2,1.2,3.5,,,1.6,0.3,0.5,0.4,0.6,0.7,6.4,0,0.2,0,0,,0,1.1,0.3,59.6,85.4,11.9,25,,,,0.4,0.1,0.3,0.4,1.9,0.2,0.5,0.1,,12,1.3
2025-10-28,12:00 PM,"Shrimp, Cooked From Fresh",colossal - 16-20 per pound,1,25.2,25,0,0,6,,0.4,0,0,0.6,0.1,0.1,,17.6,48,31,0.1,0.1,0,0,0,,,5.5,0.1,0.1,0.3,0.5,0.6,9.8,0,0.2,0,0,0,0,0,0.3,59.7,65.3,11.3,28,,,,0.2,0.1,0.2,0.3,3.8,,0,0.1,0,19,0.4
2025-10-28,12:00 PM,Street Tacos White Corn Tortillas,tortilla,1,14.67,33,0,7,1,,,,,,,,,6.7,,,,,,0.2,,,0.7,,,0.1,,,,,,,,,,,,,,26.7,,6.7,,0.7,,,,,,,,,,,,
